id;iterations;dim;time;checksum;seed
reference/naive-bitwise;100;32768;430.697;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/naive-bitwise;100;32768;439.746;12679327-12670776-12689068-12691941-12691084-12694893-12679945-12672771;42
reference/popc-bitwise;10000;2048;172.022;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;172.004;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.995;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.991;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.918;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.993;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.96;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.93;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.921;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;10000;2048;171.919;15435-15464-14658-15267-15188-15107-14944-15355;42
reference/popc-bitwise;1000;4096;56.5899;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5593;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5751;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5813;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5677;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.6004;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5527;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.6003;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5822;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;4096;56.5944;89035-90350-90034-91756-94165-89991-92465-86116;42
reference/popc-bitwise;1000;8192;198.141;355861-363108-365343-361855-360039-363070-364987-360278;42
reference/popc-bitwise;1000;8192;198.244;355861-363108-365343-361855-360039-363070-364987-360278;42
